timestamp,src_ip,dst_ip,protocol,length,flags,sport,dport
1745214432.716147,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214433.408532,10.30.247.143,104.18.10.200,6,66,FA,51006,443
1745214433.517199,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214433.5293891,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214434.4359481,142.250.182.234,10.30.247.143,17,184,0,443,57000
1745214434.4384902,10.30.247.143,142.250.182.234,17,75,0,57000,443
1745214434.637357,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214434.650294,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214434.856496,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214434.867058,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214435.072545,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214435.085409,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214435.2882402,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214435.307347,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214435.5096939,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214435.523325,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214435.529483,10.30.247.143,104.18.10.200,6,66,FA,51006,443
1745214435.726277,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214435.738861,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214436.142706,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214436.161473,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214436.6900082,151.101.65.91,10.30.247.143,6,105,PA,443,50997
1745214436.690752,10.30.247.143,151.101.65.91,6,66,A,50997,443
1745214436.6916091,10.30.247.143,151.101.65.91,6,101,PA,50997,443
1745214436.6923032,10.30.247.143,151.101.65.91,6,101,PA,50997,443
1745214436.719048,151.101.65.91,10.30.247.143,6,66,A,443,50997
1745214436.719712,151.101.65.91,10.30.247.143,6,66,A,443,50997
1745214436.9626439,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214436.982819,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214436.98341,10.30.247.143,40.104.77.34,6,78,S,51020,443
1745214436.999041,40.104.77.34,10.30.247.143,6,74,SA,443,51020
1745214437.000072,10.30.247.143,40.104.77.34,6,66,A,51020,443
1745214437.0029702,10.30.247.143,40.104.77.34,6,1436,A,51020,443
1745214437.003639,10.30.247.143,40.104.77.34,6,971,PA,51020,443
1745214437.012427,40.104.77.34,10.30.247.143,6,66,A,443,51020
1745214437.013265,40.104.77.34,10.30.247.143,6,165,PA,443,51020
1745214437.013875,10.30.247.143,40.104.77.34,6,66,A,51020,443
1745214437.014575,10.30.247.143,40.104.77.34,6,1187,PA,51020,443
1745214437.027406,40.104.77.34,10.30.247.143,6,357,PA,443,51020
1745214437.027885,10.30.247.143,40.104.77.34,6,66,A,51020,443
1745214437.029127,10.30.247.143,40.104.77.34,6,140,PA,51020,443
1745214437.029623,10.30.247.143,40.104.77.34,6,158,PA,51020,443
1745214437.030601,10.30.247.143,40.104.77.34,6,1436,A,51020,443
1745214437.0310469,10.30.247.143,40.104.77.34,6,222,PA,51020,443
1745214437.0418482,40.104.77.34,10.30.247.143,6,525,PA,443,51020
1745214437.042696,40.104.77.34,10.30.247.143,6,128,PA,443,51020
1745214437.043545,40.104.77.34,10.30.247.143,6,97,PA,443,51020
1745214437.0444841,10.30.247.143,40.104.77.34,6,66,A,51020,443
1745214437.044998,10.30.247.143,40.104.77.34,6,66,A,51020,443
1745214437.04562,10.30.247.143,40.104.77.34,6,97,PA,51020,443
1745214437.1056561,40.104.77.34,10.30.247.143,6,66,A,443,51020
1745214437.277668,40.104.77.34,10.30.247.143,6,1430,PA,443,51020
1745214437.2786639,10.30.247.143,40.104.77.34,6,66,A,51020,443
1745214437.357236,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214437.369796,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214437.6499588,10.30.247.143,104.18.10.200,6,66,FA,51006,443
1745214438.053569,10.30.247.143,40.104.77.34,6,66,FA,51020,443
1745214438.07097,40.104.77.34,10.30.247.143,6,66,FA,443,51020
1745214438.071473,10.30.247.143,40.104.77.34,6,66,A,51020,443
1745214438.584268,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214438.601402,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214439.770902,10.30.247.143,104.18.10.200,6,66,FA,51006,443
1745214441.807186,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214441.8305779,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214441.891853,10.30.247.143,104.18.10.200,6,66,FA,51006,443
1745214441.950031,10.30.247.143,35.174.127.31,6,305,PA,49396,443
1745214442.150659,35.174.127.31,10.30.247.143,6,327,PA,443,49396
1745214442.1513941,10.30.247.143,35.174.127.31,6,66,A,49396,443
1745214443.858065,142.250.183.106,10.30.247.143,17,120,0,443,57909
1745214443.861449,10.30.247.143,142.250.183.106,17,75,0,57909,443
